2025-03-16 17:30:46,150 INFO    Thread-116 (_run_job):23620 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-16 17:30:46,151 INFO    Thread-116 (_run_job):23620 [wandb_setup.py:_flush():67] Configure stats pid to 23620
2025-03-16 17:30:46,151 INFO    Thread-116 (_run_job):23620 [wandb_setup.py:_flush():67] Loading settings from C:\Users\DELL\.config\wandb\settings
2025-03-16 17:30:46,151 INFO    Thread-116 (_run_job):23620 [wandb_setup.py:_flush():67] Loading settings from C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_1\wandb\settings
2025-03-16 17:30:46,151 INFO    Thread-116 (_run_job):23620 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-16 17:30:46,151 INFO    Thread-116 (_run_job):23620 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_1\wandb\run-20250316_173046-vrz2womt\logs\debug.log
2025-03-16 17:30:46,152 INFO    Thread-116 (_run_job):23620 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_1\wandb\run-20250316_173046-vrz2womt\logs\debug-internal.log
2025-03-16 17:30:46,152 INFO    Thread-116 (_run_job):23620 [wandb_init.py:init():761] calling init triggers
2025-03-16 17:30:46,152 INFO    Thread-116 (_run_job):23620 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation': 'tanh', 'batch_size': 64, 'beta': 0.9, 'beta1': 0.9, 'beta2': 0.999, 'dataset': 'fashion_mnist', 'epochs': 5, 'epsilon': 1e-08, 'hidden_size': 64, 'learning_rate': 0.0001, 'loss': 'cross_entropy', 'momentum': 0.9, 'num_layers': 3, 'optimizer': 'adam', 'weight_decay': 0.0005, 'weight_init': 'Xavier'}
config: {'_wandb': {}}
2025-03-16 17:30:46,152 INFO    Thread-116 (_run_job):23620 [wandb_init.py:init():784] starting backend
2025-03-16 17:30:46,152 INFO    Thread-116 (_run_job):23620 [wandb_init.py:init():788] sending inform_init request
2025-03-16 17:30:46,154 INFO    Thread-116 (_run_job):23620 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-03-16 17:30:46,154 INFO    Thread-116 (_run_job):23620 [wandb_init.py:init():798] backend started and connected
2025-03-16 17:30:46,155 INFO    Thread-116 (_run_job):23620 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'tanh', 'batch_size': 64, 'beta': 0.9, 'beta1': 0.9, 'beta2': 0.999, 'dataset': 'fashion_mnist', 'epochs': 5, 'epsilon': 1e-08, 'hidden_size': 64, 'learning_rate': 0.0001, 'loss': 'cross_entropy', 'momentum': 0.9, 'num_layers': 3, 'optimizer': 'adam', 'weight_decay': 0.0005, 'weight_init': 'Xavier'}
2025-03-16 17:30:46,155 INFO    Thread-116 (_run_job):23620 [wandb_init.py:init():891] updated telemetry
2025-03-16 17:30:46,157 INFO    Thread-116 (_run_job):23620 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-16 17:30:46,634 INFO    Thread-116 (_run_job):23620 [wandb_init.py:init():990] starting run threads in backend
2025-03-16 17:30:47,060 INFO    Thread-116 (_run_job):23620 [wandb_run.py:_console_start():2375] atexit reg
2025-03-16 17:30:47,060 INFO    Thread-116 (_run_job):23620 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-16 17:30:47,061 INFO    Thread-116 (_run_job):23620 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-16 17:30:47,061 INFO    Thread-116 (_run_job):23620 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-16 17:30:47,061 INFO    Thread-116 (_run_job):23620 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-16 17:31:02,643 INFO    Thread-116 (_run_job):23620 [wandb_run.py:_finish():2112] finishing run teja_sai-indian-institute-of-technology-madras/myprojectname_sweep/vrz2womt
2025-03-16 17:31:02,643 INFO    Thread-116 (_run_job):23620 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-16 17:31:02,644 INFO    Thread-116 (_run_job):23620 [wandb_run.py:_restore():2322] restore
2025-03-16 17:31:02,644 INFO    Thread-116 (_run_job):23620 [wandb_run.py:_restore():2328] restore done
2025-03-16 17:31:03,941 INFO    Thread-116 (_run_job):23620 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-16 17:31:03,942 INFO    Thread-116 (_run_job):23620 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-16 17:31:03,942 INFO    Thread-116 (_run_job):23620 [wandb_run.py:_footer_sync_info():3917] logging synced files
